ticker,ticker_sec,name,sector,weight,identifier,isin,asset_class,cik,sec_title,cik_status
NVDA,NVDA,NVIDIA CORP,-,8.008136,67066G104,,,0001045810,NVIDIA CORP,PRESENT
AAPL,AAPL,APPLE INC,-,7.261189,037833100,,,0000320193,Apple Inc.,PRESENT
MSFT,MSFT,MICROSOFT CORP,-,5.659202,594918104,,,0000789019,MICROSOFT CORP,PRESENT
AMZN,AMZN,AMAZON.COM INC,-,3.794623,023135106,,,0001018724,AMAZON COM INC,PRESENT
GOOGL,GOOGL,ALPHABET INC CL A,-,2.987177,02079K305,,,0001652044,Alphabet Inc.,PRESENT
AVGO,AVGO,BROADCOM INC,-,2.661544,11135F101,,,0001730168,Broadcom Inc.,PRESENT
GOOG,GOOG,ALPHABET INC CL C,-,2.386291,02079K107,,,0001652044,Alphabet Inc.,PRESENT
META,META,META PLATFORMS INC CLASS A,-,1.931895,30303M102,,,0001326801,"Meta Platforms, Inc.",PRESENT
MU,MU,MICRON TECHNOLOGY INC,-,1.60062,595112103,,,0000723125,MICRON TECHNOLOGY INC,PRESENT
TSLA,TSLA,TESLA INC,-,1.524312,88160R101,,,0001318605,"Tesla, Inc.",PRESENT
JPM,JPM,JPMORGAN CHASE + CO,-,1.446148,46625H100,,,0000019617,JPMORGAN CHASE & CO,PRESENT
BRK.B,BRK-B,BERKSHIRE HATHAWAY INC CL B,-,1.400298,084670702,,,0001067983,BERKSHIRE HATHAWAY INC,PRESENT
LLY,LLY,ELI LILLY + CO,-,1.39526,532457108,,,0000059478,ELI LILLY & Co,PRESENT
AMD,AMD,ADVANCED MICRO DEVICES,-,1.139508,007903107,,,0000002488,ADVANCED MICRO DEVICES INC,PRESENT
XOM,XOM,EXXONMOBIL HOLDINGS CORP,-,1.037,30233Q108,,,0002115436,ExxonMobil Holdings Corp,PRESENT
JNJ,JNJ,JOHNSON + JOHNSON,-,0.992532,478160104,,,0000200406,JOHNSON & JOHNSON,PRESENT
V,V,VISA INC CLASS A SHARES,-,0.940329,92826C839,,,0001403161,VISA INC.,PRESENT
MA,MA,MASTERCARD INC A,-,0.712819,57636Q104,,,0001141391,Mastercard Inc,PRESENT
WMT,WMT,WALMART INC,-,0.705972,931142103,,,0000104169,Walmart Inc.,PRESENT
ABBV,ABBV,ABBVIE INC,-,0.698326,00287Y109,,,0001551152,AbbVie Inc.,PRESENT
INTC,INTC,INTEL CORP,-,0.668039,458140100,,,0000050863,INTEL CORP,PRESENT
CSCO,CSCO,CISCO SYSTEMS INC,-,0.658973,17275R102,,,0000858877,"CISCO SYSTEMS, INC.",PRESENT
COST,COST,COSTCO WHOLESALE CORP,-,0.633965,22160K105,,,0000909832,COSTCO WHOLESALE CORP /NEW,PRESENT
PLTR,PLTR,PALANTIR TECHNOLOGIES INC A,-,0.627968,69608A108,,,0001321655,Palantir Technologies Inc.,PRESENT
BAC,BAC,BANK OF AMERICA CORP,-,0.615276,060505104,,,0000070858,BANK OF AMERICA CORP /DE/,PRESENT
CVX,CVX,CHEVRON CORP,-,0.600632,166764100,,,0000093410,CHEVRON CORP,PRESENT
