ticker,ticker_sec,name,sector,weight,cik,sic,annual_form,annual_period,annual_filed,annual_adsh,latest_10q_period,latest_10q_filed,sec_quarters_used,annual_revenue,annual_revenue_tag,annual_revenue_date,prior_revenue,prior_revenue_date,annual_net_income,annual_net_income_tag,annual_net_income_date,prior_net_income,prior_net_income_date,annual_operating_income,annual_operating_income_tag,annual_operating_income_date,prior_operating_income,prior_operating_income_date,annual_operating_cash_flow,annual_operating_cash_flow_tag,annual_operating_cash_flow_date,prior_operating_cash_flow,prior_operating_cash_flow_date,annual_capex,annual_capex_tag,annual_capex_date,prior_capex,prior_capex_date,annual_diluted_shares,annual_diluted_shares_tag,annual_diluted_shares_date,prior_diluted_shares,prior_diluted_shares_date,annual_assets,annual_assets_tag,annual_assets_date,annual_equity,annual_equity_tag,annual_equity_date,annual_cash,annual_cash_tag,annual_cash_date,annual_debt,annual_debt_tag,annual_debt_date,annual_fcf,revenue_yoy,net_income_yoy,diluted_shares_yoy,operating_margin,net_margin,fcf_margin,roe_simple,debt_to_equity,core_metric_coverage_pct,extended_metric_coverage_pct,data_quality_flags,data_status,fy_minus_1_period,fy_minus_1_filed,fy_minus_1_adsh,fy_minus_1_revenue,fy_minus_1_revenue_tag,fy_minus_1_revenue_date,fy_minus_1_operating_income,fy_minus_1_operating_income_tag,fy_minus_1_operating_income_date,fy_minus_1_net_income,fy_minus_1_net_income_tag,fy_minus_1_net_income_date,fy_minus_1_operating_cash_flow,fy_minus_1_operating_cash_flow_tag,fy_minus_1_operating_cash_flow_date,fy_minus_1_capex,fy_minus_1_capex_tag,fy_minus_1_capex_date,fy_minus_1_diluted_shares,fy_minus_1_diluted_shares_tag,fy_minus_1_diluted_shares_date,fy_minus_1_equity,fy_minus_1_equity_tag,fy_minus_1_equity_date,fy_minus_2_period,fy_minus_2_filed,fy_minus_2_adsh,fy_minus_2_revenue,fy_minus_2_revenue_tag,fy_minus_2_revenue_date,fy_minus_2_operating_income,fy_minus_2_operating_income_tag,fy_minus_2_operating_income_date,fy_minus_2_net_income,fy_minus_2_net_income_tag,fy_minus_2_net_income_date,fy_minus_2_operating_cash_flow,fy_minus_2_operating_cash_flow_tag,fy_minus_2_operating_cash_flow_date,fy_minus_2_capex,fy_minus_2_capex_tag,fy_minus_2_capex_date,fy_minus_2_diluted_shares,fy_minus_2_diluted_shares_tag,fy_minus_2_diluted_shares_date,fy_minus_2_equity,fy_minus_2_equity_tag,fy_minus_2_equity_date,fy_minus_3_period,fy_minus_3_filed,fy_minus_3_adsh,fy_minus_3_revenue,fy_minus_3_revenue_tag,fy_minus_3_revenue_date,fy_minus_3_operating_income,fy_minus_3_operating_income_tag,fy_minus_3_operating_income_date,fy_minus_3_net_income,fy_minus_3_net_income_tag,fy_minus_3_net_income_date,fy_minus_3_operating_cash_flow,fy_minus_3_operating_cash_flow_tag,fy_minus_3_operating_cash_flow_date,fy_minus_3_capex,fy_minus_3_capex_tag,fy_minus_3_capex_date,fy_minus_3_diluted_shares,fy_minus_3_diluted_shares_tag,fy_minus_3_diluted_shares_date,fy_minus_3_equity,fy_minus_3_equity_tag,fy_minus_3_equity_date,annual_sbc,annual_sbc_tag,annual_sbc_date,prior_sbc,prior_sbc_tag,prior_sbc_date,sbc_to_revenue,revenue_cagr3,opinc_cagr3,fcf_cagr3,fcf_per_share_cagr3,annual_operating_margin_history,fy_minus_1_operating_margin_history,fy_minus_2_operating_margin_history,fy_minus_3_operating_margin_history,operating_margin_std_4y,operating_margin_range_4y
NVDA,NVDA,NVIDIA CORP,-,8.074113,1045810.0,3674.0,10-K,20260131.0,20260225.0,0001045810-26-000021,20260430.0,20260520.0,2025Q3;2025Q4;2026Q1;2026Q2,215938000000.0,Revenues,20260131.0,130497000000.0,20250131.0,120067000000.0,NetIncomeLoss,20260131.0,72880000000.0,20250131.0,130387000000.0,OperatingIncomeLoss,20260131.0,81453000000.0,20250131.0,102718000000.0,NetCashProvidedByUsedInOperatingActivities,20260131.0,64089000000.0,20250131.0,6042000000.0,PaymentsToAcquireProductiveAssets,20260131.0,3236000000.0,20250131.0,24514000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20260131.0,24804000000.0,20250131.0,206803000000.0,Assets,20260131.0,157293000000.0,StockholdersEquity,20260131.0,10605000000.0,CashAndCashEquivalentsAtCarryingValue,20260131.0,7469000000.0,LongTermDebtNoncurrent,20260131,96676000000.0,0.6547353579009478,0.6474615806805708,-0.0116916626350588,0.6038168363141272,0.5560253406070261,0.4477025812964832,0.7633333969089534,0.0474846305938598,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6038168363141272,,,,,
AAPL,AAPL,APPLE INC,-,7.026636,320193.0,3571.0,10-K,20250930.0,20251031.0,0000320193-25-000079,20260331.0,20260501.0,2025Q3;2025Q4;2026Q1;2026Q2,416161000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250930.0,391035000000.0,20240930.0,112010000000.0,NetIncomeLoss,20250930.0,93736000000.0,20240930.0,133050000000.0,OperatingIncomeLoss,20250930.0,123216000000.0,20240930.0,111482000000.0,NetCashProvidedByUsedInOperatingActivities,20250930.0,118254000000.0,20240930.0,12715000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250930.0,9447000000.0,20240930.0,15004697000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250930.0,15408095000.0,20240930.0,359241000000.0,Assets,20250930.0,73733000000.0,StockholdersEquity,20250930.0,35934000000.0,CashAndCashEquivalentsAtCarryingValue,20250930.0,90678000000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20250930+20250930,98767000000.0,0.0642551178283274,0.1949517794657336,-0.0261809133445763,0.3197079976259188,0.2691506412181824,0.2373288222586931,1.5191298333175105,1.229815686327696,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3197079976259188,,,,,
MSFT,MSFT,MICROSOFT CORP,-,5.689832,789019.0,7372.0,10-K,20250630.0,20250730.0,0000950170-25-100235,20260331.0,20260429.0,2025Q3;2025Q4;2026Q1;2026Q2,281724000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250630.0,245122000000.0,20240630.0,101832000000.0,NetIncomeLoss,20250630.0,88136000000.0,20240630.0,128528000000.0,OperatingIncomeLoss,20250630.0,109433000000.0,20240630.0,136162000000.0,NetCashProvidedByUsedInOperatingActivities,20250630.0,118548000000.0,20240630.0,64551000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250630.0,44477000000.0,20240630.0,7465000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250630.0,7469000000.0,20240630.0,619003000000.0,Assets,20250630.0,343479000000.0,StockholdersEquity,20250630.0,30242000000.0,CashAndCashEquivalentsAtCarryingValue,20250630.0,43151000000.0,LongTermDebtCurrent+LongTermDebtNoncurrent,20250630+20250630,71611000000.0,0.1493215623240671,0.1553962058636653,-0.0005355469272995,0.4562195624085985,0.3614601524896707,0.2541884965427156,0.2964722734140952,0.1256292233295194,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4562195624085985,,,,,
AMZN,AMZN,AMAZON.COM INC,-,3.839695,1018724.0,5961.0,10-K,20251231.0,20260206.0,0001018724-26-000004,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,716924000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,637959000000.0,20241231.0,77670000000.0,NetIncomeLoss,20251231.0,59248000000.0,20241231.0,79975000000.0,OperatingIncomeLoss,20251231.0,68593000000.0,20241231.0,139514000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,115877000000.0,20241231.0,131819000000.0,PaymentsToAcquireProductiveAssets,20251231.0,82999000000.0,20241231.0,10827000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,10721000000.0,20241231.0,818042000000.0,Assets,20251231.0,411065000000.0,StockholdersEquity,20251231.0,86810000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,65648000000.0,LongTermDebtNoncurrent,20251231,7695000000.0,0.1237775468329469,0.3109303267620849,0.0098871373938997,0.1115529679575519,0.1083378433418326,0.0107333552789417,0.1889482198679041,0.1597022368725141,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1115529679575519,,,,,
GOOGL,GOOGL,ALPHABET INC CL A,-,3.004561,1652044.0,7370.0,10-K,20251231.0,20260205.0,0001652044-26-000018,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,402836000000.0,Revenues,20251231.0,350018000000.0,20241231.0,132170000000.0,NetIncomeLoss,20251231.0,100118000000.0,20241231.0,129039000000.0,OperatingIncomeLoss,20251231.0,112390000000.0,20241231.0,164713000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,125299000000.0,20241231.0,91447000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,52535000000.0,20241231.0,,,,,,595281000000.0,Assets,20251231.0,415265000000.0,StockholdersEquity,20251231.0,30708000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,46547000000.0,LongTermDebtNoncurrent,20251231,73266000000.0,0.1509008108154437,0.3201422321660441,,0.3203263859238002,0.3280987796522654,0.1818755026859565,0.3182786895115167,0.1120898703237691,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3203263859238002,,,,,
AVGO,AVGO,BROADCOM INC,-,2.647594,1730168.0,3674.0,10-K,20251031.0,20251218.0,0001730168-25-000121,20260430.0,20260609.0,2025Q3;2025Q4;2026Q1;2026Q2,63887000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251031.0,51574000000.0,20241031.0,23126000000.0,ProfitLoss,20251031.0,5895000000.0,20241031.0,25484000000.0,OperatingIncomeLoss,20251031.0,13463000000.0,20241031.0,27537000000.0,NetCashProvidedByUsedInOperatingActivities,20251031.0,19962000000.0,20241031.0,623000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251031.0,548000000.0,20241031.0,4853000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251031.0,4778000000.0,20241031.0,171092000000.0,Assets,20251031.0,81292000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,20251031.0,16178000000.0,CashAndCashEquivalentsAtCarryingValue,20251031.0,61984000000.0,LongTermDebtAndCapitalLeaseObligations,20251031,26914000000.0,0.2387443285376351,2.922985581000848,0.0156969443281707,0.3988917933225852,0.3619828760154648,0.4212750637844945,0.2844806377011268,0.7624858534665158,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3988917933225852,,,,,
GOOG,GOOG,ALPHABET INC CL C,-,2.393675,1652044.0,7370.0,10-K,20251231.0,20260205.0,0001652044-26-000018,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,402836000000.0,Revenues,20251231.0,350018000000.0,20241231.0,132170000000.0,NetIncomeLoss,20251231.0,100118000000.0,20241231.0,129039000000.0,OperatingIncomeLoss,20251231.0,112390000000.0,20241231.0,164713000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,125299000000.0,20241231.0,91447000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,52535000000.0,20241231.0,,,,,,595281000000.0,Assets,20251231.0,415265000000.0,StockholdersEquity,20251231.0,30708000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,46547000000.0,LongTermDebtNoncurrent,20251231,73266000000.0,0.1509008108154437,0.3201422321660441,,0.3203263859238002,0.3280987796522654,0.1818755026859565,0.3182786895115167,0.1120898703237691,83.3,87.5,MISSING_DILUTED_SHARES,PARTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3203263859238002,,,,,
META,META,META PLATFORMS INC CLASS A,-,1.897786,1326801.0,7370.0,10-K,20251231.0,20260129.0,0001628280-26-003942,20260331.0,20260430.0,2025Q3;2025Q4;2026Q1;2026Q2,200966000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,164501000000.0,20241231.0,60458000000.0,NetIncomeLoss,20251231.0,62360000000.0,20241231.0,83276000000.0,OperatingIncomeLoss,20251231.0,69380000000.0,20241231.0,115800000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,91328000000.0,20241231.0,69691000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,37256000000.0,20241231.0,2574000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,2614000000.0,20241231.0,366021000000.0,Assets,20251231.0,217243000000.0,StockholdersEquity,20251231.0,35873000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,58744000000.0,LongTermDebtNoncurrent,20251231,46109000000.0,0.2216703849824621,-0.0305003207184092,-0.0153022188217291,0.4143785515957923,0.3008369574952977,0.2294368201586338,0.2782966539773433,0.2704068715677835,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4143785515957923,,,,,
MU,MU,MICRON TECHNOLOGY INC,-,1.632455,723125.0,3674.0,10-K,20250831.0,20251003.0,0000723125-25-000028,20260531.0,20260625.0,2025Q3;2025Q4;2026Q1;2026Q2,37378000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20250831.0,25111000000.0,20240831.0,8539000000.0,NetIncomeLoss,20250831.0,778000000.0,20240831.0,9770000000.0,OperatingIncomeLoss,20250831.0,1304000000.0,20240831.0,17525000000.0,NetCashProvidedByUsedInOperatingActivities,20250831.0,8507000000.0,20240831.0,15857000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20250831.0,8386000000.0,20240831.0,1125000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20250831.0,1118000000.0,20240831.0,82798000000.0,Assets,20250831.0,54165000000.0,StockholdersEquity,20250831.0,9642000000.0,CashAndCashEquivalentsAtCarryingValue,20250831.0,14017000000.0,LongTermDebtAndCapitalLeaseObligations,20250831,1668000000.0,0.4885110111106685,9.975578406169666,0.0062611806797854,0.2613837016426775,0.2284498903098079,0.0446251805875113,0.1576479276285424,0.2587833471799132,100.0,100.0,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2613837016426775,,,,,
TSLA,TSLA,TESLA INC,-,1.564033,1318605.0,3711.0,10-K,20251231.0,20260129.0,0001628280-26-003952,20260331.0,20260423.0,2025Q3;2025Q4;2026Q1;2026Q2,94827000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,20251231.0,97690000000.0,20241231.0,3794000000.0,NetIncomeLoss,20251231.0,7091000000.0,20241231.0,4355000000.0,OperatingIncomeLoss,20251231.0,7076000000.0,20241231.0,14747000000.0,NetCashProvidedByUsedInOperatingActivities,20251231.0,14923000000.0,20241231.0,8527000000.0,PaymentsToAcquirePropertyPlantAndEquipment,20251231.0,11342000000.0,20241231.0,3528000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,20251231.0,3498000000.0,20241231.0,137806000000.0,Assets,20251231.0,82137000000.0,StockholdersEquity,20251231.0,16513000000.0,CashAndCashEquivalentsAtCarryingValue,20251231.0,,,,6220000000.0,-0.0293069915037362,-0.4649555774925962,0.0085763293310463,0.0459257384500195,0.040009701878157,0.0655931327575479,0.0461911197146231,,100.0,87.5,OK,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0459257384500195,,,,,
